protocol,chain,pool_name,apy,apy_base,apy_reward,tvl_usd,usdc_liquidity,risk_score,category,min_deposit,oracle_confidence,last_updated,risk_adjusted_apy,tvl_millions,liquidity_millions,risk_category
beefy,arbitrum,USDC,20.14905,0.0,0.0,1001116.0,951060.2,0.995995536,other,1.0,0.9,2025-09-27 11:56:28.805407,10.094737005463923,1.001116,0.9510601999999999,High
ipor-fusion,ethereum,USDC,19.38407,19.38407,0.0,1692011.0,1607410.45,0.993231956,other,1.0,0.9,2025-09-27 11:56:28.804908,9.724944425885976,1.692011,1.60741045,High
avantis,base,USDC,18.73113,18.73113,0.0,16564446.0,15736223.7,0.933742216,other,1.0,0.9,2025-09-27 11:56:28.803540,9.686466916332762,16.564446,15.7362237,High
wildcat-protocol,ethereum,HALALUSDC,18.5,18.5,0.0,4998415.0,1649476.9500000002,0.98000634,other,1.0,0.9,2025-09-27 11:56:28.804166,9.343404425664616,4.998415,1.6494769500000002,High
uniswap-v3,base,DEFI.SSI-USDC,18.06937,18.06937,0.0,1513585.0,756792.5,0.9939456600000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.805010,9.062117570445725,1.513585,0.7567925,High
uniswap-v3,ethereum,USDC-WETH,15.65615,15.65615,0.0,65781978.0,32890989.0,0.7368720879999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.803183,9.013991363076128,65.781978,32.890989,High
uniswap-v3,ethereum,USDC-WETH,14.99728,14.99728,0.0,75659627.0,37829813.5,0.697361492,lp_pool,1.0,0.9,2025-09-27 11:56:28.803157,8.835642890854508,75.659627,37.8298135,High
euler-v2,ethereum,USDC,17.52567,7.05129,10.47438,2766117.0,2627811.15,0.988935532,other,1.0,0.9,2025-09-27 11:56:28.804548,8.811582737614847,2.766117,2.62781115,High
40-acres,base,40BASE-USDC-VAULT,17.06891,17.06891,0.0,8140563.0,4070281.5,0.967437748,lp_pool,1.0,0.9,2025-09-27 11:56:28.803854,8.675705250319309,8.140563,4.0702815,High
avantis,base,USDC,16.89175,16.89175,0.0,10453720.0,9931034.0,0.95818512,other,1.0,0.9,2025-09-27 11:56:28.803712,8.626227330335345,10.45372,9.931034,High
curve-dex,ethereum,USDC-USDF,14.85498,9.45,5.40498,51552430.0,25776215.0,0.79379028,stable_lp,1.0,0.9,2025-09-27 11:56:28.803254,8.28133598761612,51.55243,25.776215,High
uniswap-v3,base,USDC-MAG7.SSI,16.09048,16.09048,0.0,6081095.0,3040547.5,0.9756756200000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.804025,8.14429243197322,6.081095,3.0405475,High
wildcat-protocol,ethereum,HYPERWILDCATUSDC,16.0,16.0,0.0,7023407.0,2317724.31,0.9719063720000001,other,1.0,0.9,2025-09-27 11:56:28.803943,8.113975504715292,7.023407,2.31772431,High
wildcat-protocol,ethereum,KAI2USDC,16.0,16.0,0.0,6605886.0,2179942.38,0.973576456,other,1.0,0.9,2025-09-27 11:56:28.803989,8.10710927937823,6.605886,2.17994238,High
deltaprime,arbitrum,USDC,16.07623,16.07623,0.0,1252135.0,1189528.25,0.99499146,other,1.0,0.9,2025-09-27 11:56:28.805160,8.058295146787245,1.252135,1.18952825,High
superfund,base,USDC,15.9242,15.4242,0.5,2126464.0,2020140.7999999998,0.991494144,other,1.0,0.9,2025-09-27 11:56:28.804747,7.996106866784741,2.126464,2.0201407999999996,High
morpho-blue,base,HYCSUSDC,15.82777,11.81517,4.0126,3306661.0,1091198.1300000001,0.986773356,other,1.0,0.9,2025-09-27 11:56:28.804419,7.966570495925253,3.306661,1.0911981300000002,High
beefy,arbitrum,WAARBUSDCN-WAARBUSDT-WAARBGHO,15.64089,0.0,0.0,4966182.0,2483091.0,0.9801352720000001,lp_pool,1.0,0.9,2025-09-27 11:56:28.804180,7.898899747491595,4.966182,2.483091,High
harvest-finance,base,USDC,15.56,15.56,0.0,2622911.0,2491765.4499999997,0.989508356,other,1.0,0.9,2025-09-27 11:56:28.804588,7.821027719272369,2.622911,2.49176545,High
gmx-v2-perps,arbitrum,LINK-USDC,15.24623,15.24623,0.0,12549968.0,6274984.0,0.949800128,lp_pool,1.0,0.9,2025-09-27 11:56:28.803631,7.819380961698244,12.549968,6.274984,High
wildcat-protocol,ethereum,HYPERPRIVATEUSDC,15.0,15.0,0.0,13924756.0,4595169.48,0.9443009760000001,other,1.0,0.9,2025-09-27 11:56:28.803589,7.714854945379608,13.924756,4.59516948,High
yearn-finance,ethereum,USDC-USDF,15.22497,15.22497,0.0,2531184.0,1265592.0,0.9898752639999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804608,7.651218282594824,2.531184,1.265592,High
wildcat-protocol,ethereum,HYPERWILDCATFASTUSDC,15.0,15.0,0.0,8966034.0,2958791.22,0.964135864,other,1.0,0.9,2025-09-27 11:56:28.803810,7.636946239275024,8.966034,2.95879122,High
wildcat-protocol,ethereum,AUROSUSDC,15.0,15.0,0.0,4860743.0,1604045.1900000002,0.980557028,other,1.0,0.9,2025-09-27 11:56:28.804189,7.573626907954907,4.860743,1.6040451900000001,High
wildcat-protocol,ethereum,LILENGUSDC,15.0,15.0,0.0,2263505.0,746956.65,0.99094598,other,1.0,0.9,2025-09-27 11:56:28.804698,7.534106977628795,2.263505,0.74695665,High
sandclock,ethereum,USDC,15.0,0.0,15.0,1086915.0,1032569.25,0.99565234,other,1.0,0.9,2025-09-27 11:56:28.805309,7.516339243738216,1.086915,1.03256925,High
tokemak,base,USDC,14.17288,9.344,4.82888,26864639.0,25521407.049999997,0.892541444,other,1.0,0.9,2025-09-27 11:56:28.803391,7.488808260940784,26.864639,25.521407049999997,High
stake-dao,ethereum,USDC-USDF,14.67714,3.51,11.16714,8720304.0,4360152.0,0.965118784,lp_pool,1.0,0.9,2025-09-27 11:56:28.803827,7.468830952867224,8.720304,4.360152,High
gmx-v2-perps,arbitrum,ETH-USDC,11.84132,11.84132,0.0,101265680.0,50632840.0,0.6,lp_pool,1.0,0.9,2025-09-27 11:56:28.803122,7.400824999999999,101.26568,50.63284,High
wildcat-protocol,ethereum,USDCUSDC,14.5,14.5,0.0,4998415.0,1649476.9500000002,0.98000634,other,1.0,0.9,2025-09-27 11:56:28.804163,7.3232088741695645,4.998415,1.6494769500000002,High
wildcat-protocol,ethereum,MININGSTOREUSDC,14.5,14.5,0.0,4987959.0,1646026.47,0.980048164,other,1.0,0.9,2025-09-27 11:56:28.804170,7.323054188089942,4.987959,1.64602647,High
convex-finance,ethereum,DEUSD-USDC,14.41941,0.07,14.34941,1391123.0,695561.5,0.994435508,lp_pool,1.0,0.9,2025-09-27 11:56:28.805071,7.229820138160115,1.391123,0.6955615,High
morpho-blue,base,COUSDC,14.26533,10.96739,3.29794,4795964.0,1582668.12,0.9808161440000001,other,1.0,0.9,2025-09-27 11:56:28.804206,7.201743606144599,4.795964,1.5826681200000001,High
tokemak,ethereum,USDC,13.5047,6.52058,6.98412,8716477.0,8280653.149999999,0.965134092,other,1.0,0.9,2025-09-27 11:56:28.803830,6.872151908094829,8.716477,8.28065315,High
upshift,ethereum,XUPUSDC,13.15,13.15,0.0,15208140.0,5018686.2,0.93916744,other,1.0,0.9,2025-09-27 11:56:28.803565,6.781260724963493,15.20814,5.0186862,High
harvest-finance,arbitrum,USDC,13.52,13.52,0.0,1351866.0,1284272.7,0.994592536,other,1.0,0.9,2025-09-27 11:56:28.805105,6.77832677901889,1.351866,1.2842727,High
gammaswap,base,WETH-USDC,13.41055,13.41055,0.0,3987260.0,1993630.0,0.98405096,lp_pool,1.0,0.9,2025-09-27 11:56:28.804318,6.759176185676199,3.98726,1.99363,High
curve-dex,ethereum,USDC-RLUSD,12.15299,2.06,10.09299,49653961.0,24826980.5,0.801384156,stable_lp,1.0,0.9,2025-09-27 11:56:28.803262,6.746473238104799,49.653961,24.8269805,High
moonwell-lending,base,USDC,13.27986,11.76737,1.5125,5469843.0,5196350.85,0.978120628,lending,1.0,0.9,2025-09-27 11:56:28.804096,6.71337218369071,5.469843,5.19635085,High
wasabi,base,USDC,13.24555,13.24555,0.0,6666644.0,6333311.8,0.973333424,other,1.0,0.9,2025-09-27 11:56:28.803983,6.7122716510577884,6.666644,6.3333118,High
wildcat-protocol,ethereum,ELKUSDC,13.14,13.14,0.0,9996830.0,3298953.9000000004,0.96001268,other,1.0,0.9,2025-09-27 11:56:28.803751,6.704038261630022,9.99683,3.2989539000000003,High
gmx-v2-perps,arbitrum,WBTC.B-USDC,13.29805,13.29805,0.0,2455185.0,1227592.5,0.99017926,lp_pool,1.0,0.9,2025-09-27 11:56:28.804622,6.681835283521143,2.455185,1.2275925,High
beefy,ethereum,FXUSD-USDC,13.2788,0.0,0.0,2147824.0,1073912.0,0.9914087039999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804736,6.668043568016865,2.147824,1.073912,High
uniswap-v3,ethereum,USDC-SEI,12.8785,12.8785,0.0,7249435.0,3624717.5,0.97100226,lp_pool,1.0,0.9,2025-09-27 11:56:28.803930,6.533985404968536,7.249435,3.6247175,High
wildcat-protocol,ethereum,SLNUSDC,13.0,13.0,0.0,2524632.0,833128.56,0.989901472,other,1.0,0.9,2025-09-27 11:56:28.804612,6.532986774935156,2.524632,0.83312856,High
gains-network,base,USDC,12.40793,12.40793,0.0,1373015.0,1304364.25,0.99450794,other,1.0,0.9,2025-09-27 11:56:28.805080,6.2210481849473105,1.373015,1.30436425,High
gmx-v2-perps,arbitrum,WBTC.B-USDC,12.29953,12.29953,0.0,4536758.0,2268379.0,0.981852968,lp_pool,1.0,0.9,2025-09-27 11:56:28.804237,6.206075929241185,4.536758,2.268379,High
aerodrome-slipstream,base,MSUSD-USDC,12.22601,7.98068,4.24533,5734729.0,2867364.5,0.977061084,lp_pool,1.0,0.9,2025-09-27 11:56:28.804070,6.183931340788052,5.734729,2.8673645,High
yo-protocol,base,USDC,11.50936,11.50936,0.0,24891833.0,23647241.349999998,0.900432668,other,1.0,0.9,2025-09-27 11:56:28.803412,6.056178781704672,24.891833,23.647241349999998,High
gmx-v2-perps,arbitrum,ETH-USDC,12.04396,12.04396,0.0,1172818.0,586409.0,0.9953087279999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.805217,6.036138583963535,1.172818,0.586409,High
wildcat-protocol,ethereum,KEYUSDC,12.0,12.0,0.0,2988828.0,986313.24,0.988044688,other,1.0,0.9,2025-09-27 11:56:28.804484,6.03608161950935,2.988828,0.98631324,High
mim-swap,arbitrum,MIM-USDC,11.75719,0.0,11.75719,7874388.0,3937194.0,0.968502448,lp_pool,1.0,0.9,2025-09-27 11:56:28.803878,5.972657037813346,7.874388,3.937194,High
tokemak,ethereum,USDC,11.5876,9.3075,2.2801,13003868.0,12353674.6,0.947984528,other,1.0,0.9,2025-09-27 11:56:28.803602,5.94850720498125,13.003868,12.3536746,High
